Catalog;HIP;RAhms;DEdms;RAdeg;DEdeg;
H;1;00 00 00.22;+01 05 20.4;000.00091185;+01.08901332;
H;2;00 00 00.91;-19 29 55.8;000.00379737;-19.49883745;
H;3;00 00 01.20;+38 51 33.4;000.00500795;+38.85928608;
H;4;00 00 02.01;-51 53 36.8;000.00838170;-51.89354612;
H;5;00 00 02.39;-40 35 28.4;000.00996534;-40.59122440;
H;6;00 00 04.35;+03 56 47.4;000.01814144;+03.94648893;
H;7;00 00 05.41;+20 02 11.8;000.02254891;+20.03660216;
H;8;00 00 06.55;+25 53 11.3;000.02729160;+25.88647445;
H;9;00 00 08.48;+36 35 09.4;000.03534189;+36.58593777;
H;10;00 00 08.70;-50 52 01.5;000.03625309;-50.86707360;
H;11;00 00 08.95;+46 56 24.0;000.03729695;+46.94000154;
H;12;00 00 09.82;-35 57 36.8;000.04091756;-35.96022482;
H;13;00 00 10.00;-22 35 40.9;000.04167970;-22.59468060;
H;14;00 00 11.59;-00 21 37.5;000.04827189;-00.36042119;
H;15;00 00 12.07;+50 47 28.2;000.05030890;+50.79117384;
H;17;00 00 12.26;-40 11 32.4;000.05109957;-40.19232842;
H;16;00 00 12.34;-54 54 50.9;000.05140852;-54.91412819;
H;18;00 00 12.75;-04 03 13.5;000.05313923;-04.05373813;
H;19;00 00 12.80;+38 18 14.7;000.05331696;+38.30408636;
H;20;00 00 15.11;+23 31 45.4;000.06295050;+23.52928397;
H;21;00 00 15.90;+08 00 26.0;000.06623569;+08.00723437;
H;22;00 00 16.83;-49 21 08.2;000.07013593;-49.35226686;
H;23;00 00 17.86;+13 18 44.0;000.07442930;+13.31221083;
H;24;00 00 18.25;-23 27 09.9;000.07604979;-23.45274913;
H;25;00 00 19.05;-44 17 25.1;000.07936537;-44.29029741;
H;26;00 00 20.24;-13 23 35.9;000.08434579;-13.39329686;
H;27;00 00 20.51;-41 17 51.1;000.08546976;-41.29753696;
H;28;00 00 20.94;-43 21 42.5;000.08724871;-43.36179962;
H;29;00 00 22.11;-49 06 28.6;000.09213106;-49.10795505;
H;30;00 00 23.07;+42 08 29.4;000.09613563;+42.14149882;
H;31;00 00 23.54;+02 40 31.7;000.09809390;+02.67547768;
H;32;00 00 23.66;+51 56 22.2;000.09858375;+51.93949050;
H;33;00 00 23.80;-10 27 44.8;000.09918083;-10.46245445;
H;34;00 00 23.87;+26 55 05.7;000.09946973;+26.91823821;
H;35;00 00 24.61;-14 29 25.7;000.10256052;-14.49048072;
H;36;00 00 24.79;+12 16 01.5;000.10327550;+12.26709303;
H;37;00 00 25.28;-47 10 46.5;000.10535190;-47.17958382;
H;38;00 00 26.65;-79 03 42.6;000.11104694;-79.06183133;
H;39;00 00 26.85;-16 41 48.9;000.11186148;-16.69693020;
H;41;00 00 27.98;+54 18 08.1;000.11656351;+54.30223774;
H;40;00 00 29.27;+67 13 00.4;000.12196971;+67.21679125;
H;42;00 00 30.09;+25 50 41.2;000.12538666;+25.84478059;
H;43;00 00 30.98;+59 33 35.1;000.12908900;+59.55973786;
H;44;00 00 31.85;-03 18 22.9;000.13272230;-03.30636174;
H;45;00 00 32.21;-72 12 09.8;000.13420453;-72.20271031;
H;46;00 00 32.29;-25 37 20.1;000.13454429;-25.62225277;
H;47;00 00 32.45;-56 50 06.9;000.13519236;-56.83524773;
H;48;00 00 32.45;-40 41 25.6;000.13522264;-40.69044664;
H;49;00 00 33.48;+16 40 08.5;000.13950066;+16.66903183;
H;50;00 00 34.29;-53 05 51.6;000.14287059;-53.09766277;
H;51;00 00 34.41;+01 03 58.3;000.14339044;+01.06619726;
H;52;00 00 35.20;-77 01 12.5;000.14665879;-77.02014050;
H;53;00 00 35.37;-29 15 48.2;000.14739023;-29.26338247;
H;54;00 00 36.40;+17 58 08.2;000.15165558;+17.96895579;
